,userIndex,gameID,hours
703,60.0,492.0,3.1
704,60.0,488.0,1.9
705,60.0,493.0,0.8
706,60.0,486.0,0.8
707,60.0,494.0,0.2
708,60.0,495.0,0.2
709,61.0,9.0,6.6
710,62.0,21.0,3.6
711,63.0,39.0,231.0
712,63.0,474.0,6.6
713,64.0,121.0,13.6
714,65.0,21.0,9.9
715,66.0,9.0,4.5
716,67.0,246.0,42.0
717,67.0,21.0,0.5
718,68.0,21.0,2.0
719,69.0,281.0,0.6
720,70.0,46.0,499.0
721,71.0,9.0,29.0
722,72.0,21.0,2.4
723,73.0,21.0,1.5
724,74.0,21.0,10.1
725,75.0,21.0,6.5
726,76.0,254.0,5.4
727,77.0,231.0,153.0
728,77.0,234.0,63.0
729,77.0,232.0,26.0
730,77.0,147.0,22.0
731,77.0,4.0,1.4
732,78.0,73.0,104.0
733,78.0,496.0,6.3
734,78.0,497.0,1.5
735,79.0,21.0,0.4
736,80.0,39.0,13.4
737,80.0,498.0,12.0
738,81.0,39.0,75.0
739,81.0,104.0,0.5
740,81.0,9.0,0.5
741,82.0,21.0,550.0
742,83.0,9.0,27.0
743,83.0,235.0,16.8
744,83.0,356.0,6.9
745,84.0,238.0,303.0
746,84.0,499.0,3.5
747,85.0,234.0,12.2
748,85.0,477.0,2.9
749,85.0,9.0,0.9
750,85.0,500.0,0.2
751,85.0,273.0,0.1
752,86.0,39.0,639.0
753,86.0,76.0,479.0
754,86.0,284.0,70.0
755,86.0,280.0,65.0
756,86.0,46.0,33.0
757,86.0,248.0,30.0
758,86.0,501.0,19.8
759,86.0,502.0,16.2
760,86.0,474.0,11.3
761,86.0,133.0,4.2
762,86.0,503.0,3.9
763,86.0,147.0,2.3
764,86.0,504.0,1.7
765,86.0,9.0,1.0
766,86.0,505.0,0.8
767,86.0,449.0,0.8
768,86.0,506.0,0.7
769,86.0,59.0,0.7
770,86.0,23.0,0.5
771,86.0,507.0,0.3
772,86.0,508.0,0.3
773,87.0,21.0,865.0
774,88.0,273.0,271.0
775,88.0,284.0,16.7
776,88.0,240.0,10.7
777,88.0,4.0,8.6
778,88.0,509.0,8.4
779,88.0,21.0,2.4
780,88.0,510.0,2.0
781,88.0,511.0,1.2
782,88.0,512.0,0.7
783,88.0,513.0,0.3
784,88.0,514.0,0.3
785,88.0,147.0,0.2
786,88.0,494.0,0.2
787,89.0,21.0,60.0
788,90.0,515.0,60.0
789,90.0,516.0,31.0
790,90.0,517.0,7.0
791,90.0,518.0,3.0
792,91.0,21.0,1256.0
793,92.0,475.0,8.8
794,92.0,519.0,8.8
795,92.0,520.0,2.6
796,92.0,19.0,1.5
797,92.0,521.0,1.2
798,92.0,522.0,0.8
799,93.0,523.0,110.0
800,94.0,21.0,1.9
801,95.0,129.0,1.0
802,95.0,318.0,0.4
803,95.0,235.0,0.3
804,96.0,524.0,912.0
805,96.0,525.0,153.0
806,96.0,76.0,79.0
807,96.0,526.0,29.0
808,96.0,132.0,19.7
809,96.0,527.0,13.3
810,96.0,474.0,12.3
811,96.0,528.0,6.4
812,96.0,19.0,4.6
813,96.0,4.0,2.7
814,96.0,475.0,2.6
815,96.0,67.0,2.3
816,96.0,338.0,1.6
817,96.0,529.0,1.4
818,96.0,530.0,1.0
819,96.0,254.0,0.9
820,96.0,284.0,0.9
821,96.0,115.0,0.3
822,96.0,219.0,0.3
823,96.0,84.0,0.3
824,96.0,531.0,0.3
825,96.0,532.0,0.2
826,96.0,6.0,0.2
827,97.0,240.0,0.3
828,98.0,21.0,0.3
829,99.0,21.0,1.9
830,100.0,533.0,128.0
831,100.0,28.0,72.0
832,100.0,534.0,59.0
833,100.0,535.0,58.0
834,100.0,536.0,46.0
835,100.0,537.0,41.0
836,100.0,363.0,41.0
837,100.0,538.0,35.0
838,100.0,154.0,21.0
839,100.0,63.0,14.6
840,100.0,0.0,14.6
841,100.0,84.0,14.5
842,100.0,196.0,12.9
843,100.0,352.0,7.0
844,100.0,13.0,6.6
845,100.0,539.0,6.3
846,100.0,467.0,5.8
847,100.0,368.0,5.7
848,100.0,540.0,3.8
849,100.0,541.0,3.3
850,100.0,542.0,3.2
851,100.0,543.0,3.1
852,100.0,544.0,3.0
853,100.0,545.0,2.9
854,100.0,452.0,2.8
855,100.0,294.0,2.8
856,100.0,546.0,2.8
857,100.0,547.0,2.7
858,100.0,531.0,2.5
859,100.0,261.0,2.2
860,100.0,548.0,1.9
861,100.0,549.0,1.8
862,100.0,550.0,1.8
863,100.0,551.0,1.6
864,100.0,532.0,1.5
865,100.0,552.0,1.3
866,100.0,307.0,1.2
867,100.0,553.0,1.2
868,100.0,554.0,1.1
869,100.0,8.0,1.0
870,100.0,555.0,0.9
871,100.0,556.0,0.8
872,100.0,62.0,0.8
873,100.0,557.0,0.7
874,100.0,56.0,0.7
875,100.0,37.0,0.5
876,100.0,4.0,0.5
877,100.0,558.0,0.5
878,100.0,559.0,0.4
879,100.0,141.0,0.4
